FMID,MarketName,city,County,State,zip,x,y,Credit,WIC,WICcash,SFMNP,SNAP,Organic,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,Coffee,Beans,Fruits,Grains,Juices,Mushrooms,PetFood,Tofu,WildHarvested
1019489,Wakefield , Annandale ,Fairfax,Virginia,22003,-77.196229,38.832801,Y,N,N,N,N,N,Y,Y,N,N,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,N,N,N,Y,N,Y,N,N,N,N
1012638,Uptown Fresh Healthy Lifestyle Market, Buffalo,Erie,New York,14215,-78.8136755,42.9432192,Y,N,Y,N,Y,N,Y,N,Y,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N
1012308,Festival Farmers Market, Cobleskill,Schoharie,New York,12043,-74.4669868,42.6792512,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N
1009174,Garden Station Sunday Market , Dayton,,Ohio,45402,-84.1854,39.7593,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1009183,Terra Local, Geneva,,Ohio,,-80.9501,41.8037,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1003781,Harrington Farmers Market, Harrington,,Delaware,19952,-75.5782,38.9236,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1019120,King George Farmers Market, King George,King George,Virginia,22485,-77.2028,38.27678,Y,N,N,N,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,N,N,Y,N,Y,N,Y,N,N,N,N
1005967,"Urban Farmer's Market (Madison, FL)", Madison,Madison,Florida,32340,-83.422333,30.471328,N,N,N,N,N,-,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N
1018875,North End Farmers Market, Mansfield ,Richland,Ohio,44903,-82.524714,40.770362,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,Y,N,Y,N,N,N,N
1009377,Vliet Street Green Market , Milwaukee,,Wisconsin,53208,-87.9695,43.0489,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1019407,North Creek Farmers Market, North Creek,Warren,New York,12843,-73.988272,43.702638,Y,N,N,N,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,Y,Y,N,Y,N,N,Y,N,N,Y
1011126,Robertson County Farmer's Market , Sprigfield,Robertson,Tennessee,37172,-86.878407,36.522861,Y,N,N,N,N,N,Y,N,N,Y,N,N,Y,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N
1009197,Victor Idaho Farmers Market , Victor,,Idaho,83455,-111.111,43.6039,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1011548,Connor Farm,-,Pulaski,Missouri,,-90.317994,38.701724,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1011551,"E & E Acres, LLC",-,Franklin,Missouri,,-90.317994,38.701724,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
